Filename,Publication,Issue,Publication Date,Date Added to Catalog,What's on the Cover,Folder Path
Wrestling Revue - 1983 - September.pdf,Wrestling Revue,September 1983,1983-09-01,2026-04-26,,1980s/1983/Wrestling Revue
Wrestling Scene - 1983 - October.pdf,Wrestling Scene,October 1983,1983-10-01,2026-04-26,,1980s/1983/Wrestling Scene
Wrestling Superstars - 1983 - July.pdf,Wrestling Superstars,July 1983,1983-07-01,2026-04-26,,1980s/1983/Wrestling Superstars
Wrestling World - 1983 - December.pdf,Wrestling World,December 1983,1983-12-01,2026-04-26,,1980s/1983/Wrestling World
Wrestling's Main Event - 1983 - April.pdf,Wrestling's Main Event,April 1983,1983-04-01,2026-04-26,,1980s/1983/Wrestling's Main Event
Wrestling's Main Event - 1983 - August.pdf,Wrestling's Main Event,August 1983,1983-08-01,2026-04-26,,1980s/1983/Wrestling's Main Event
Wrestling's Main Event - 1983 - December.pdf,Wrestling's Main Event,December 1983,1983-12-01,2026-04-26,,1980s/1983/Wrestling's Main Event
Wrestling's Main Event - 1983 - June.pdf,Wrestling's Main Event,June 1983,1983-06-01,2026-04-26,,1980s/1983/Wrestling's Main Event
Wrestling's Main Event - 1983 - March.pdf,Wrestling's Main Event,March 1983,1983-03-01,2026-04-26,,1980s/1983/Wrestling's Main Event
Wrestling's Main Event - 1983 - November.pdf,Wrestling's Main Event,November 1983,1983-11-01,2026-04-26,,1980s/1983/Wrestling's Main Event
Wrestling's Main Event - 1983 - October.pdf,Wrestling's Main Event,October 1983,1983-10-01,2026-04-26,,1980s/1983/Wrestling's Main Event
Inside Wrestling - 1984 - August.pdf,Inside Wrestling,August 1984,1984-08-01,2026-04-26,,1980s/1984/Inside Wrestling
Inside Wrestling - 1984 - January.pdf,Inside Wrestling,January 1984,1984-01-01,2026-04-26,,1980s/1984/Inside Wrestling
Inside Wrestling - 1984 - May.pdf,Inside Wrestling,May 1984,1984-05-01,2026-04-26,,1980s/1984/Inside Wrestling
Inside Wrestling - 1984 - November.pdf,Inside Wrestling,November 1984,1984-11-01,2026-04-26,,1980s/1984/Inside Wrestling
Pro Wrestling Illustrated - 1984 - February.pdf,Pro Wrestling Illustrated,February 1984,1984-02-01,2026-04-26,,1980s/1984/Pro Wrestling Illustrated
Pro Wrestling Illustrated - 1984 - January.pdf,Pro Wrestling Illustrated,January 1984,1984-01-01,2026-04-26,,1980s/1984/Pro Wrestling Illustrated
Pro Wrestling Illustrated - 1984 - May.pdf,Pro Wrestling Illustrated,May 1984,1984-05-01,2026-04-26,,1980s/1984/Pro Wrestling Illustrated
Pro Wrestling Illustrated - 1984 - October.pdf,Pro Wrestling Illustrated,October 1984,1984-10-01,2026-04-26,,1980s/1984/Pro Wrestling Illustrated
Sports Review Wrestling - 1984 - February.pdf,Sports Review Wrestling,February 1984,1984-02-01,2026-04-26,,1980s/1984/Sports Review Wrestling
Sports Review Wrestling - 1984 - January.pdf,Sports Review Wrestling,January 1984,1984-01-01,2026-04-26,,1980s/1984/Sports Review Wrestling
Sports Review Wrestling - 1984 - July.pdf,Sports Review Wrestling,July 1984,1984-07-01,2026-04-26,,1980s/1984/Sports Review Wrestling
Sports Review Wrestling - 1984 - October.pdf,Sports Review Wrestling,October 1984,1984-10-01,2026-04-26,,1980s/1984/Sports Review Wrestling
The Wrestler - 1984 - April.pdf,The Wrestler,April 1984,1984-04-01,2026-04-26,,1980s/1984/The Wrestler
The Wrestler - 1984 - August.pdf,The Wrestler,August 1984,1984-08-01,2026-04-26,,1980s/1984/The Wrestler
The Wrestler - 1984 - December.pdf,The Wrestler,December 1984,1984-12-01,2026-04-26,,1980s/1984/The Wrestler
The Wrestler - 1984 - February.pdf,The Wrestler,February 1984,1984-02-01,2026-04-26,,1980s/1984/The Wrestler
The Wrestler - 1984 - July.pdf,The Wrestler,July 1984,1984-07-01,2026-04-26,,1980s/1984/The Wrestler
The Wrestler - 1984 - June.pdf,The Wrestler,June 1984,1984-06-01,2026-04-26,,1980s/1984/The Wrestler
The Wrestler - 1984 - March.pdf,The Wrestler,March 1984,1984-03-01,2026-04-26,,1980s/1984/The Wrestler
The Wrestler - 1984 - May.pdf,The Wrestler,May 1984,1984-05-01,2026-04-26,,1980s/1984/The Wrestler
The Wrestler - 1984 - November.pdf,The Wrestler,November 1984,1984-11-01,2026-04-26,,1980s/1984/The Wrestler
The Wrestler - 1984 - October.pdf,The Wrestler,October 1984,1984-10-01,2026-04-26,,1980s/1984/The Wrestler
Wrestling All Stars - 1984 - February.pdf,Wrestling All Stars,February 1984,1984-02-01,2026-04-26,,1980s/1984/Wrestling All Stars
Wrestling Revue - 1984 - July.pdf,Wrestling Revue,July 1984,1984-07-01,2026-04-26,,1980s/1984/Wrestling Revue
Wrestling Revue - 1984 - September.pdf,Wrestling Revue,September 1984,1984-09-01,2026-04-26,,1980s/1984/Wrestling Revue
Wrestling World - 1984 - April.pdf,Wrestling World,April 1984,1984-04-01,2026-04-26,,1980s/1984/Wrestling World
Wrestling's Main Event - 1984 - February.pdf,Wrestling's Main Event,February 1984,1984-02-01,2026-04-26,,1980s/1984/Wrestling's Main Event
Wrestling's Main Event - 1984 - January.pdf,Wrestling's Main Event,January 1984,1984-01-01,2026-04-26,,1980s/1984/Wrestling's Main Event
Wrestling's Main Event - 1984 - July.pdf,Wrestling's Main Event,July 1984,1984-07-01,2026-04-26,,1980s/1984/Wrestling's Main Event
Wrestling's Main Event - 1984 - November.pdf,Wrestling's Main Event,November 1984,1984-11-01,2026-04-26,,1980s/1984/Wrestling's Main Event
"1986-03, PWI - 1985 - Annual.pdf","1986-03, PWI",Annual 1985,1985 (Annual),2026-04-26,,"1980s/1985/1986-03, PWI"
Inside Wrestling - 1985 - December.pdf,Inside Wrestling,December 1985,1985-12-01,2026-04-26,,1980s/1985/Inside Wrestling
Inside Wrestling - 1985 - May.pdf,Inside Wrestling,May 1985,1985-05-01,2026-04-26,,1980s/1985/Inside Wrestling
Inside Wrestling - 1985 - November.pdf,Inside Wrestling,November 1985,1985-11-01,2026-04-26,,1980s/1985/Inside Wrestling
Pro Wrestling Illustrated - 1985 - July.pdf,Pro Wrestling Illustrated,July 1985,1985-07-01,2026-04-26,,1980s/1985/Pro Wrestling Illustrated
Pro Wrestling Illustrated - 1985 - March.pdf,Pro Wrestling Illustrated,March 1985,1985-03-01,2026-04-26,,1980s/1985/Pro Wrestling Illustrated
Pro Wrestling Illustrated - 1985 - November.pdf,Pro Wrestling Illustrated,November 1985,1985-11-01,2026-04-26,,1980s/1985/Pro Wrestling Illustrated
Ringside Wrestling - 1985 - January.pdf,Ringside Wrestling,January 1985,1985-01-01,2026-04-26,,1980s/1985/Ringside Wrestling
Ringside Wrestling - 1985 - March.pdf,Ringside Wrestling,March 1985,1985-03-01,2026-04-26,,1980s/1985/Ringside Wrestling
Sports Illustrated - 1985 - April.pdf,Sports Illustrated,April 1985,1985-04-01,2026-04-26,,1980s/1985/Sports Illustrated
Sports Review Wrestling - 1985 - December.pdf,Sports Review Wrestling,December 1985,1985-12-01,2026-04-26,,1980s/1985/Sports Review Wrestling
Sports Review Wrestling - 1985 - February.pdf,Sports Review Wrestling,February 1985,1985-02-01,2026-04-26,,1980s/1985/Sports Review Wrestling
Sports Review Wrestling - 1985 - July.pdf,Sports Review Wrestling,July 1985,1985-07-01,2026-04-26,,1980s/1985/Sports Review Wrestling
Sports Review Wrestling - 1985 - March.pdf,Sports Review Wrestling,March 1985,1985-03-01,2026-04-26,,1980s/1985/Sports Review Wrestling
Sports Review Wrestling - 1985 - May.pdf,Sports Review Wrestling,May 1985,1985-05-01,2026-04-26,,1980s/1985/Sports Review Wrestling
The Wrestler - 1985 - April.pdf,The Wrestler,April 1985,1985-04-01,2026-04-26,,1980s/1985/The Wrestler
The Wrestler - 1985 - August.pdf,The Wrestler,August 1985,1985-08-01,2026-04-26,,1980s/1985/The Wrestler
The Wrestler - 1985 - December.pdf,The Wrestler,December 1985,1985-12-01,2026-04-26,,1980s/1985/The Wrestler
The Wrestler - 1985 - February.pdf,The Wrestler,February 1985,1985-02-01,2026-04-26,,1980s/1985/The Wrestler
The Wrestler - 1985 - January.pdf,The Wrestler,January 1985,1985-01-01,2026-04-26,,1980s/1985/The Wrestler
The Wrestler - 1985 - July.pdf,The Wrestler,July 1985,1985-07-01,2026-04-26,,1980s/1985/The Wrestler
The Wrestler - 1985 - June.pdf,The Wrestler,June 1985,1985-06-01,2026-04-26,,1980s/1985/The Wrestler
The Wrestler - 1985 - March.pdf,The Wrestler,March 1985,1985-03-01,2026-04-26,,1980s/1985/The Wrestler
The Wrestler - 1985 - November.pdf,The Wrestler,November 1985,1985-11-01,2026-04-26,,1980s/1985/The Wrestler
The Wrestler - 1985 - October.pdf,The Wrestler,October 1985,1985-10-01,2026-04-26,,1980s/1985/The Wrestler
The Wrestler - 1985 - September.pdf,The Wrestler,September 1985,1985-09-01,2026-04-26,,1980s/1985/The Wrestler
WWF Magazine - 1985 - August.pdf,WWF Magazine,August 1985,1985-08-01,2026-04-26,,1980s/1985/WWF Magazine
Wrestling All Stars - 1985 - July.pdf,Wrestling All Stars,July 1985,1985-07-01,2026-04-26,,1980s/1985/Wrestling All Stars
Wrestling All Stars - 1985 - June.pdf,Wrestling All Stars,June 1985,1985-06-01,2026-04-26,,1980s/1985/Wrestling All Stars
Wrestling All Stars - 1985 - October.pdf,Wrestling All Stars,October 1985,1985-10-01,2026-04-26,,1980s/1985/Wrestling All Stars
Wrestling All Stars Vol. 01 - 1985 - Annual.pdf,Wrestling All Stars Vol. 01,Annual 1985,1985 (Annual),2026-04-26,,1980s/1985/Wrestling All Stars Vol. 01
Wrestling Eye - 1985 - November.pdf,Wrestling Eye,November 1985,1985-11-01,2026-04-26,,1980s/1985/Wrestling Eye
Wrestling Scene - 1985 - April.pdf,Wrestling Scene,April 1985,1985-04-01,2026-04-26,,1980s/1985/Wrestling Scene
Wrestling's Main Event - 1985 - April.pdf,Wrestling's Main Event,April 1985,1985-04-01,2026-04-26,,1980s/1985/Wrestling's Main Event
Wrestling's Main Event - 1985 - August.pdf,Wrestling's Main Event,August 1985,1985-08-01,2026-04-26,,1980s/1985/Wrestling's Main Event
