publication_date	list_label	scope	rank	entry_name	pfdb_id	issue_url
1984-09-01	Florida	territory	3	Dusty Rhodes	109	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Florida	territory	4	Mike Rotundo	13	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Florida	territory	5	Barry Windham	14	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Florida	territory	6	Kendo Nagasaki	1620	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Florida	territory	7	Kevin Sullivan	505	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Florida	territory	8	Buzz Sawyer	543	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Florida	territory	10	Mike Davis	516	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Georgia	territory	1	The Spoiler	1690	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Georgia	territory	2	Ronnie Garvin	104	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Georgia	territory	3	Jake Roberts	37	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Georgia	territory	4	King Kong Bundy	3	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Georgia	territory	6	Ted DiBiase	82	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Georgia	territory	7	Sweet Brown Sugar	1129	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Georgia	territory	8	Wahoo McDaniel	535	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Georgia	territory	9	Tommy Rogers	504	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Mid-Atlantic	territory	1	Ricky Steamboat	5	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Mid-Atlantic	territory	2	Angelo Mosca Jr.	5950	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Mid-Atlantic	territory	4	Mark Youngblood	552	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Mid-Atlantic	territory	5	Tully Blanchard	106	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Mid-Atlantic	territory	6	Dick Slater	649	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Mid-Atlantic	territory	7	Junkyard Dog	9	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Mid-Atlantic	territory	8	Wahoo McDaniel	535	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Mid-South	territory	2	Magnum T. A.	3614	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Mid-South	territory	3	Krusher Kruschev	92	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Mid-South	territory	4	Nikolai Volkoff	11	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Mid-South	territory	6	Butch Reed	71	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Mid-South	territory	7	Sheik Abdullah	7057	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Mid-South	territory	9	Masao Ito	3609	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Mid-South	territory	10	Joe Savoldi	1099	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Mid-Southern	territory	1	Randy Savage	27	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Mid-Southern	territory	2	Humongus	1157	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Mid-Southern	territory	3	Austin Idol	1076	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Mid-Southern	territory	4	Jerry Lawler	150	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Mid-Southern	territory	5	Jos LeDuc	10658	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Mid-Southern	territory	6	Rick Rude	87	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Mid-Southern	territory	7	Tommy Rich	541	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Mid-Southern	territory	8	Eddie Gilbert	496	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Mid-Southern	territory	10	Norvell Austin	4058	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Northwest	territory	2	Rip Oliver	1089	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Northwest	territory	4	Matt Borne	6	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Northwest	territory	6	Curt Hennig	100	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Northwest	territory	7	Ed Wiskowski	532	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Northwest	territory	8	Jules Strongbow	1241	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Northwest	territory	9	Tom Prichard	161	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Northwest	territory	10	Mike Miller	3720	http://www.profightdb.com/pwi-monthly/september-1984-283.html
