publication_date	list_label	scope	rank	entry_name	issue_url
1984-02-01	NWA	promotion	9	Bob Armstrong	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	NWA	promotion	10	Carlos Colon	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Florida	territory	1	Mike Rotundo	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Florida	territory	2	Barry Windham	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Florida	territory	3	Dusty Rhodes	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Florida	territory	4	Ron Bass	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Florida	territory	6	Jos LeDuc	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Florida	territory	7	Angelo Mosca	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Florida	territory	9	Abdullah The Butcher	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Florida	territory	10	Angelo Mosca Jr.	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Georgia	territory	1	Brett Wayne	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Georgia	territory	2	Jake Roberts	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Georgia	territory	4	Buzz Sawyer	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Georgia	territory	5	Tommy Rich	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Georgia	territory	6	Pez Whatley	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Georgia	territory	7	Ronnie Garvin	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Georgia	territory	8	Roddy Piper	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Georgia	territory	9	Ted DiBiase	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Georgia	territory	10	King Kong Bundy	http://www.profightdb.com/pwi-monthly/february-1984-276.html
