publication_date	list_label	scope	rank	entry_name	issue_url
1984-06-15	WWF	promotion	9	Tony Atlas	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	WWF	promotion	10	Ivan Putski	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	AWA	promotion	2	Billy Robinson	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	AWA	promotion	3	Jerry Lawler	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	AWA	promotion	4	Mr. Saito	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	AWA	promotion	5	Ken Patera	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	AWA	promotion	7	Brad Rheingans	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	AWA	promotion	8	Billy Graham	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	AWA	promotion	9	Crusher Blackwell	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	AWA	promotion	10	Jesse Ventura	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	NWA	promotion	1	Dick Slater	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	NWA	promotion	2	Ted DiBiase	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	NWA	promotion	4	Mike Rotundo	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	NWA	promotion	5	Ron Bass	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	NWA	promotion	6	Greg Valentine	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	NWA	promotion	7	Carlos Colon	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	NWA	promotion	8	Chris Adams	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	NWA	promotion	9	David Von Erich	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	NWA	promotion	10	Rip Oliver	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Florida	territory	1	Ron Bass	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Florida	territory	2	Mike Rotundo	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Florida	territory	3	Dusty Rhodes	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Florida	territory	5	Dirty Yellow Dog	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Florida	territory	7	Mike Davis	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Florida	territory	8	One Man Gang	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Florida	territory	9	Kendo Nagasaki	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Florida	territory	10	Hector Guerrero	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Georgia	territory	1	Ted DiBiase	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Georgia	territory	2	Jake Roberts	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Georgia	territory	3	Buzz Sawyer	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Georgia	territory	5	King Kong Bundy	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Georgia	territory	7	Pez Whatley	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Georgia	territory	8	Ronnie Garvin	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Georgia	territory	9	Bugsy McGraw	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Georgia	territory	10	Tommy Rogers	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Mid-Atlantic	territory	1	Dick Slater	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Mid-Atlantic	territory	2	Greg Valentine	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Mid-Atlantic	territory	3	Dory Funk, Jr.	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Mid-Atlantic	territory	5	Wahoo McDaniel	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Mid-Atlantic	territory	7	The Great Kabuki	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Mid-Atlantic	territory	8	Roddy Piper	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Mid-Atlantic	territory	9	Mark Youngblood	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Mid-South	territory	1	Junkyard Dog	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Mid-South	territory	2	Nikolai Volkoff	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Mid-South	territory	3	Krusher Darsow	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Mid-South	territory	4	Butch Reed	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Mid-South	territory	5	Magnum T. A.	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Mid-South	territory	7	Jim Duggan	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Mid-South	territory	8	Kamala	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Mid-South	territory	10	Steve Williams	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Mid-Southern	territory	1	Austin Idol	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Mid-Southern	territory	2	Jerry Lawler	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Mid-Southern	territory	3	Jos LeDuc	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Mid-Southern	territory	4	Randy Savage	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Mid-Southern	territory	5	King Konga	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Mid-Southern	territory	8	Stan Lane	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Mid-Southern	territory	9	Mr. Ebony	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Mid-Southern	territory	10	Koko Ware	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Northwest	territory	1	Rip Oliver	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Northwest	territory	2	Billy Jack	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Northwest	territory	3	Dynamite Kid	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Northwest	territory	4	Jules Strongbow	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Northwest	territory	7	Curt Hennig	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Northwest	territory	8	Scott McGhee	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Northwest	territory	9	Chavo Guerrero	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Northwest	territory	10	Matt Borne	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	World Class	territory	1	Chris Adams	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	World Class	territory	2	David Von Erich	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	World Class	territory	3	Kevin Von Erich	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	World Class	territory	4	Jim Garvin	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	World Class	territory	5	Kerry Von Erich	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	World Class	territory	7	Kamala	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	World Class	territory	8	Super Destroyer #1	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	World Class	territory	10	Super Destroyer #2	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-07-01	Top 10	singles	1	Ric Flair	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Top 10	singles	4	Dusty Rhodes	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Top 10	singles	5	Hulk Hogan	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Top 10	singles	6	Carlos Colon	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Top 10	singles	7	Dick Slater	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Top 10	singles	8	Jumbo Tsuruta	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Top 10	singles	9	Dino Bravo	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Top 10	singles	10	Kerry Von Erich	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Most Popular	most_popular	3	Dusty Rhodes	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Most Popular	most_popular	4	Hulk Hogan	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Most Popular	most_popular	5	Jerry Lawler	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Most Popular	most_popular	6	Junkyard Dog	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Most Popular	most_popular	7	Tito Santana	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Most Popular	most_popular	8	Kerry Von Erich	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Most Hated	most_hated	1	Dick Slater	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Most Hated	most_hated	2	Jake Roberts	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Most Hated	most_hated	3	Kendo Nagasaki	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Most Hated	most_hated	4	Nikolai Volkoff	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Most Hated	most_hated	5	Butch Reed	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Most Hated	most_hated	6	Krusher Kruschev	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Most Hated	most_hated	7	The Iron Sheik	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Most Hated	most_hated	8	Jim Garvin	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Most Hated	most_hated	9	Crusher Blackwell	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Most Hated	most_hated	10	Jos LeDuc	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	WWF	promotion	1	Paul Orndorff	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	WWF	promotion	2	Tito Santana	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	WWF	promotion	3	The Iron Sheik	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	WWF	promotion	4	Sergeant Slaughter	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	WWF	promotion	5	Jimmy Snuka	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	WWF	promotion	6	Greg Valentine	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	WWF	promotion	7	The Magnificent Muraco	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	WWF	promotion	8	Bob Backlund	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	WWF	promotion	9	David Schultz	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	WWF	promotion	10	The Masked Superstar	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	AWA	promotion	3	Jerry Lawler	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	AWA	promotion	5	Brad Rheingans	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	AWA	promotion	7	Mr. Saito	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	AWA	promotion	8	Jim Brunzell	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	AWA	promotion	10	Jesse Ventura	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	NWA	promotion	1	Dick Slater	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	NWA	promotion	4	Ron Bass	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	NWA	promotion	5	Angelo Mosca Jr.	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	NWA	promotion	6	Kendo Nagasaki	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	NWA	promotion	7	Carlos Colon	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	NWA	promotion	8	Chris Adams	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	NWA	promotion	9	Kevin Von Erich	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	NWA	promotion	10	Giant Baba	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Florida	territory	1	Ron Bass	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Florida	territory	2	Kendo Nagasaki	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Florida	territory	3	Dusty Rhodes	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Florida	territory	4	Barry Windham	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Florida	territory	5	Mike Rotundo	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Florida	territory	6	Billy Jack	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Florida	territory	7	Kevin Sullivan	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Florida	territory	8	One Man Gang	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Florida	territory	10	Kamala	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Georgia	territory	2	Jake Roberts	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Georgia	territory	3	King Kong Bundy	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Georgia	territory	4	Ted DiBiase	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Georgia	territory	5	Nikolai Volkoff	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Georgia	territory	6	Ronnie Garvin	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Georgia	territory	7	Jay Youngblood	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Georgia	territory	8	The Spoiler	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Georgia	territory	9	Pez Whatley	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Georgia	territory	10	Tommy Rogers	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Mid-Atlantic	territory	1	Dick Slater	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Mid-Atlantic	territory	2	Angelo Mosca Jr.	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Mid-Atlantic	territory	3	Mark Youngblood	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Mid-Atlantic	territory	5	Wahoo McDaniel	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Mid-Atlantic	territory	6	Dory Funk, Jr.	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Mid-Atlantic	territory	7	Angelo Mosca	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Mid-Atlantic	territory	9	Junkyard Dog	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Mid-South	territory	1	Junkyard Dog	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Mid-South	territory	2	Nikolai Volkoff	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Mid-South	territory	4	Krusher Kruschev	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Mid-South	territory	6	Butch Reed	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Mid-South	territory	7	Magnum T. A.	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Mid-South	territory	8	Lanny Poffo	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Mid-South	territory	9	Kamala	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Mid-South	territory	10	Steve Williams	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Mid-Southern	territory	1	Austin Idol	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Mid-Southern	territory	2	Jerry Lawler	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Mid-Southern	territory	3	Jos LeDuc	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Mid-Southern	territory	4	Rick Rude	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Mid-Southern	territory	6	Eddie Gilbert	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Mid-Southern	territory	8	Randy Savage	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Mid-Southern	territory	9	Stagger Lee	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Mid-Southern	territory	10	Terry Gibbs	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Northwest	territory	1	Rip Oliver	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Northwest	territory	2	Matt Borne	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Northwest	territory	4	Curt Hennig	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Northwest	territory	6	Scott McGhee	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Northwest	territory	7	Jules Strongbow	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Northwest	territory	8	Tom Prichard	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Northwest	territory	9	Mike Miller	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	Northwest	territory	10	Jerry O	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	World Class	territory	1	Chris Adams	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	World Class	territory	2	Jim Garvin	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	World Class	territory	3	Kerry Von Erich	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	World Class	territory	4	Kevin Von Erich	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	World Class	territory	6	Mike Von Erich	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	World Class	territory	7	Butch Reed	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	World Class	territory	8	Johnny Mantell	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	World Class	territory	9	Kamala	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-07-01	World Class	territory	10	Chick Donovan	http://www.profightdb.com/pwi-monthly/july-1984-281.html
1984-09-15	Top 10	singles	1	Ric Flair	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Top 10	singles	3	Jumbo Tsuruta	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Top 10	singles	4	Hulk Hogan	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Top 10	singles	6	Dusty Rhodes	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Top 10	singles	7	Kerry Von Erich	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Top 10	singles	8	Dick Slater	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Top 10	singles	9	Carlos Colon	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Top 10	singles	10	Dino Bravo	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Most Popular	most_popular	3	Dusty Rhodes	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Most Popular	most_popular	4	Hulk Hogan	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Most Popular	most_popular	5	Junkyard Dog	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Most Popular	most_popular	6	Kerry Von Erich	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Most Popular	most_popular	7	Jerry Lawler	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Most Popular	most_popular	8	Sergeant Slaughter	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Most Popular	most_popular	9	Austin Idol	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Most Hated	most_hated	2	Jake Roberts	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Most Hated	most_hated	3	Kendo Nagasaki	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Most Hated	most_hated	4	Dick Slater	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Most Hated	most_hated	5	Butch Reed	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Most Hated	most_hated	6	Krusher Kruschev	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Most Hated	most_hated	7	The Iron Sheik	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Most Hated	most_hated	8	Jos LeDuc	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Most Hated	most_hated	9	Ken Patera	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Most Hated	most_hated	10	Jim Garvin	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	WWF	promotion	1	Greg Valentine	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	WWF	promotion	2	Tito Santana	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	WWF	promotion	3	Bob Backlund	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	WWF	promotion	4	Sergeant Slaughter	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	WWF	promotion	5	Paul Orndorff	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	WWF	promotion	6	Jimmy Snuka	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	WWF	promotion	7	The Iron Sheik	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	WWF	promotion	8	David Schultz	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	WWF	promotion	9	Roddy Piper	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	AWA	promotion	4	Jerry Lawler	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	AWA	promotion	5	Larry Zbyszko	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	AWA	promotion	6	Brad Rheingans	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	AWA	promotion	8	Mr. Saito	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	AWA	promotion	9	Rick Martel	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	NWA	promotion	1	Dick Slater	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	NWA	promotion	2	The Spoiler	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	NWA	promotion	4	Ron Bass	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	NWA	promotion	6	Carlos Colon	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	NWA	promotion	7	Billy Jack	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	NWA	promotion	8	Chris Adams	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	NWA	promotion	9	Kerry Von Erich	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	NWA	promotion	10	Stan Hansen	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Florida	territory	1	Ron Bass	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Florida	territory	2	Billy Jack	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Florida	territory	3	Dusty Rhodes	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Florida	territory	4	Mike Rotundo	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Florida	territory	5	Barry Windham	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Florida	territory	6	Kendo Nagasaki	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Florida	territory	7	Kevin Sullivan	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Florida	territory	8	Buzz Sawyer	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Florida	territory	9	Mike Davis	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Georgia	territory	1	The Spoiler	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Georgia	territory	2	Ronnie Garvin	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Georgia	territory	3	Jake Roberts	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Georgia	territory	4	King Kong Bundy	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Georgia	territory	6	Sweet Brown Sugar	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Georgia	territory	7	Jack Brisco	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Georgia	territory	8	Wahoo McDaniel	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Georgia	territory	9	Tommy Rogers	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Mid-Atlantic	territory	1	Dick Slater	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Mid-Atlantic	territory	3	Tully Blanchard	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Mid-Atlantic	territory	5	Junkyard Dog	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Mid-Atlantic	territory	6	Angelo Mosca Jr.	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Mid-Atlantic	territory	7	Wahoo McDaniel	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Mid-Atlantic	territory	8	Adrian Street	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Mid-Atlantic	territory	9	Mark Youngblood	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Mid-South	territory	2	Magnum T. A.	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Mid-South	territory	4	Nikolai Volkoff	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Mid-South	territory	5	Sheik Abdullah	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
1984-09-15	Mid-South	territory	6	Krusher Kruschev	http://www.profightdb.com/pwi-monthly/fall-1984-387.html
